Action Space,State Space,Sim A Distance Covered,Sim A Distance Std,Sim A Efficiency,Sim A Efficiency Std,Real A Distance Covered,Real A Distance Std,Real A Efficiency,Real A Efficiency Std,Sim C Distance Covered,Sim C Distance Std,Sim C Efficiency,Sim C Efficiency Std,Real C Distance Covered,Real C Distance Std,Real C Efficiency,Real C Efficiency Std
FTP,S1,0.44915460775562,0.0121750355712686,0.834589315866893,0.103701881185326,0.413452762800863,0.0164101602038732,0.71170251257153,0.163807901079749,0.121487037189852,0.0317661351510793,6.27475672937846,8.06284040780079,0.320477125372496,0.0223016496580506,0.627245554411414,0.245411032808257
FTP,S2,0.431539779134866,0.0149569448455333,0.776873427847154,0.199761685916428,0.406054224248247,0.0160925054051837,0.708443998863769,0.17123787649827,0.132092778738575,0.0360621252427757,4.86847103231153,7.26727719614496,0.314125973427407,0.0187535562148556,0.641901539886791,0.25050911021739
FTP,S3,0.417991090733475,0.0127379075132315,0.84352282208263,0.116182753920219,0.411772018598038,0.0174829845650669,0.752881218231612,0.18669541904328,0.148358044739944,0.0402132895259113,2.098907203428,4.49355877827933,0.344315701237023,0.0173376508811287,0.638828987442408,0.242757932794014
JA,S1,0.461757777137419,0.0119062941050013,0.841161769333359,0.0616519848874257,0.44852678480305,0.0165760651484076,0.721142767232483,0.163919473435478,0.44482799517337,0.0175407027117134,0.790682184679444,0.194660663071311,0.404158493096548,0.0198785999646389,0.662867261629955,0.192161203932303
JA,S2,0.465424488120999,0.0117377658307136,0.80883652083267,0.0847833117405,0.445395619171329,0.0161610946638329,0.712785078906446,0.166431098717788,0.442033495430299,0.016950861843151,0.744087736901418,0.210012786653924,0.38639283304026,0.0233463685567381,0.6011402326474,0.234464743269233
JA,S3,0.423807078205277,0.0154921499150359,0.766564842384636,0.13920140998208,0.424406312898995,0.017563491547106,0.696088091903683,0.178489320140455,0.421018222609303,0.0191682034071354,0.737661537272732,0.254150241666082,0.374557976591638,0.0183465301736892,0.583136783827931,0.191788547835786
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Sim A Distance Covered,Real A Distance Covered,Real A Distance Std,Sim C Distance Covered,Sim C Distance Std,Real C Distance Covered,Real C Distance Std,,,,,,,,,
FTP,S3,42,41,2,15,4,34,2,,,,,,,,,
FTP,S2,43,41,2,13,4,31,2,,,,,,,,,
FTP,S1,45,41,2,12,3,32,2,,,,,,,,,
JA,S3,42,42,2,42,2,37,2,,,,,,,,,
JA,S2,47,45,2,44,2,39,2,,,,,,,,,
JA,S1,46,45,2,44,2,40,2,,,,,,,,,
